MinimumInstallerVersion;InstallerVersionLessThan;Sequence;WorkbenchVersion;TypeofCheck;FilesChecked;FileCheckDetails;Hash;InstallMedia;ADF_Name;FriendlyName;ADFSource;ADFDescription
1.0;9.9;1;3.2;Hash;;;9B03A0C0EE996704449C8A1A318BFAB6;Disk;HDSetup3_2;HDSetup 3.2;Hyperion (3.2 base);HDSetup 3.2
1.0;9.9;1;3.2;Hash;;;71EDC1249C013D60380D3DB81FD87AE7;Disk;Install3_2;Install 3.2;Hyperion (3.2 base);Install 3.2
1.0;9.9;1;3.2;Hash;;;B697A03F0620B5E06947B5E9D7B16142;Disk;Locale3_2;Locale 3.2;Hyperion (3.2 base);Locale 3.2
1.0;9.9;1;3.2;Hash;;;3D36568BCE19234B84FE88AA9629F5BF;Disk;LocaleDE3_2;LocaleDE 3.2;Hyperion (3.2 base);LocaleDE 3.2
1.0;9.9;1;3.2;Hash;;;3A80E4F6B0D2D95F727DC45F99068AD8;Disk;LocaleDK3_2;LocaleDK 3.2;Hyperion (3.2 base);LocaleDK 3.2
1.0;9.9;1;3.2;Hash;;;7170C0BC81B7DAEEE39552279DADA58C;Disk;LocaleEN3_2;LocaleEN 3.2;Hyperion (3.2 base);LocaleEN 3.2
1.0;9.9;1;3.2;Hash;;;5E2EB9ACEF8E7B062D103DB3FD270A27;Disk;LocaleES3_2;LocaleES 3.2;Hyperion (3.2 base);LocaleES 3.2
1.0;9.9;1;3.2;Hash;;;9F65D321D92D72E17D1F744F47D16323;Disk;LocaleFR3_2;LocaleFR 3.2;Hyperion (3.2 base);LocaleFR 3.2
1.0;9.9;1;3.2;Hash;;;F93F2CD799AD1356ADF4DB01E20218F1;Disk;LocaleGR3_2;LocaleGR 3.2;Hyperion (3.2 base);LocaleGR 3.2
1.0;9.9;1;3.2;Hash;;;AD728C377CE3D7F4BD6ADBA8419A81AE;Disk;LocaleIT3_2;LocaleIT 3.2;Hyperion (3.2 base);LocaleIT 3.2
1.0;9.9;1;3.2;Hash;;;E7B7B5A6583FCA0D302201A1CB0B2829;Disk;LocaleNL3_2;LocaleNL 3.2;Hyperion (3.2 base);LocaleNL 3.2
1.0;9.9;1;3.2;Hash;;;1A9B83A7385C1AAB8094FC1D72123437;Disk;LocaleNO3_2;LocaleNO 3.2;Hyperion (3.2 base);LocaleNO 3.2
1.0;9.9;1;3.2;Hash;;;1AAA138753CEC33A55F48D869780B7C8;Disk;LocalePL3_2;LocalePL 3.2;Hyperion (3.2 base);LocalePL 3.2
1.0;9.9;1;3.2;Hash;;;425BBEB03C74FB275D643644BDD1AF9A;Disk;LocalePT3_2;LocalePT 3.2;Hyperion (3.2 base);LocalePT 3.2
1.0;9.9;1;3.2;Hash;;;C45409FCA931FC1CE76F6713F27CCD00;Disk;LocaleRU3_2;LocaleRU 3.2;Hyperion (3.2 base);LocaleRU 3.2
1.0;9.9;1;3.2;Hash;;;A588DBC1EE7BF43E0E79694E10E48669;Disk;LocaleSE3_2;LocaleSE 3.2;Hyperion (3.2 base);LocaleSE 3.2
1.0;9.9;1;3.2;Hash;;;6F9A623611FD19E084F7BE2106ECFD99;Disk;LocaleTR3_2;LocaleTR 3.2;Hyperion (3.2 base);LocaleTR 3.2
1.0;9.9;1;3.2;Hash;;;8D88812406CBF373CDB38148096972B9;Disk;LocaleUK3_2;LocaleUK 3.2;Hyperion (3.2 base);LocaleUK 3.2
1.0;9.9;1;3.2;Hash;;;66C46918B7005167F1B65E444D0B95F7;Disk;MMULibs3_2;MMULibs 3.2;Hyperion (3.2 base);MMULibs 3.2
1.0;9.9;1;3.2;Hash;;;2D46A2856152256771883F212A4E462D;Disk;ModulesA12003_2;ModulesA1200 3.2;Hyperion (3.2 base);ModulesA1200 3.2
1.0;9.9;1;3.2;Hash;;;9B18DEA310BF073EF9CAE2A120254D92;Disk;ModulesA20003_2;ModulesA2000 3.2;Hyperion (3.2 base);ModulesA2000 3.2
1.0;9.9;1;3.2;Hash;;;99FDC21E434C2B2A988BA96B69D46389;Disk;ModulesA30003_2;ModulesA3000 3.2;Hyperion (3.2 base);ModulesA3000 3.2
1.0;9.9;1;3.2;Hash;;;729DDF87056936D77EE8287F9AD090A7;Disk;ModulesA4000D3_2;ModulesA4000D 3.2;Hyperion (3.2 base);ModulesA4000D 3.2
1.0;9.9;1;3.2;Hash;;;F8EDDBCA10560582B99A2F4555AD0620;Disk;ModulesA4000T3_2;ModulesA4000T 3.2;Hyperion (3.2 base);ModulesA4000T 3.2
1.0;9.9;1;3.2;Hash;;;2AF6B84449996440211E9547660B10B6;Disk;ModulesA5003_2;ModulesA500 3.2;Hyperion (3.2 base);ModulesA500 3.2
1.0;9.9;1;3.2;Hash;;;C6474DF1D52300A4993F13A394701697;Disk;ModulesA6003_2;ModulesA600 3.2;Hyperion (3.2 base);ModulesA600 3.2
1.0;9.9;1;3.2;Hash;;;00B2C4D420C933894151C43DC3A24155;Disk;ModulesCD323_2;ModulesCD32 3.2;Hyperion (3.2 base);ModulesCD32 3.2
1.0;9.9;1;3.2;Hash;;;3726FAB6EC5CFC48F7C2368005964D90;Disk;Storage3_2;Storage 3.2;Hyperion (3.2 base);Storage 3.2
1.0;9.9;1;3.2;Hash;;;5EDF0B7A10409EF992EA351565EF8B6C;Disk;Workbench3_2;Workbench 3.2;Hyperion (3.2 base);Workbench 3.2
1.0;9.9;2;3.9;Hash;;;3CB96E77D922A4F8EB696E525A240448;CD;AmigaOS3_9;AmigaOS 3.9;Haage and Partners (3.9);AmigaOS 3.9
1.0;9.9;2;3.9;Hash;;;b0f30837c0f0ce86a9a2ea543c22aa68;CD;AmigaOS3_9;AmigaOS 3.9;Haage and Partners (3.9);AmigaOS 3.9
1.0;9.9;1;3.9;Hash;;;9cba9d7ea40e24813f7dbdb3d1794056;CD;AmigaOS3_9;AmigaOS 3.9;Haage and Partners (3.9);AmigaOS 3.9
1.0;9.9;1;3.9;Hash;;;fb5cef9c8f43d6480f6eee1928d30e02;CD;AmigaOS3_9;AmigaOS 3.9;Haage and Partners (3.9);AmigaOS 3.9
2.0;9.9;1;3.9;FileCheck;OS-Version3.9\Workbench3.5\C\execute,OS-Version3.9\Workbench3.9\Libs\workbench.library,OS-Version3.9\Workbench3.5\L\FastFileSystem,OS-Version3.9\Workbench3.5\S\Startup-Sequence,OS-Version3.9\Workbench3.9\Prefs\screenmode;264986,264986,5;;CD;AmigaOS3_9;AmigaOS 3.9;Haage and Partners (3.9);AmigaOS 3.9
1.0;9.9;1;3.9;Hash;;;71353D4AEB9AF1F129545618D013A8C8;Archive;AmigaOS3_9BB1;AmigaOS 3.9 BB1 Update;Haage and Partners (3.9);AmigaOS 3.9 BB1 Update
1.0;9.9;1;3.9;Hash;;;FD45D24BB408203883A4C9A56E968E28;Archive;AmigaOS3_9BB2;AmigaOS 3.9 BB2 Update;Haage and Partners (3.9);AmigaOS 3.9 BB2 Update
1.0;9.9;1;3.9;Hash;;;4E48F80573554385A6FBC274D8AE328B;Archive;AmigaOS3_9BB34;AmigaOS 3.9 BB3 & BB4 Update;Haage and Partners (3.9);AmigaOS 3.9 BB3 & BB4 Update
1.0;9.9;2;3.2.2;Hash;;;884bd1b279b19e4d351f321e35a0e776;Disk;Classes3_2_2;Classes 3.2.2;Hyperion (3.2.2 Update);Classes 3.2.2
1.0;9.9;1;3.2.2;Hash;;;727C5ADCA47611AE1B6ED5155808A054;Disk;Classes3_2_2;Classes 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);Classes 3.2.2
1.0;9.9;2;3.2.2;Hash;;;b5e88900328258627da1d03000b82c5a;Disk;DiskDoctor3_2_2;DiskDoctor 3.2.2;Hyperion (3.2.2 Update);DiskDoctor 3.2.2
1.0;9.9;1;3.2.2;Hash;;;10C22B666DD9CB2DFF369CEC28E500BE;Disk;DiskDoctor3_2_2;DiskDoctor 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);DiskDoctor 3.2.2
1.0;9.9;2;3.2.2;Hash;;;bfe78fe5710f643632ebcab2d8f39358;Disk;LocaleCZ3_2_2;LocaleCZ 3.2.2;Hyperion (3.2.2 Update);LocaleCZ 3.2.2
1.0;9.9;1;3.2.2;Hash;;;7056763DC073E5C5320C9FEA2E9BD8F6;Disk;LocaleCZ3_2_2;LocaleCZ 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleCZ 3.2.2
1.0;9.9;2;3.2.2;Hash;;;c21563f7fa0844bcb84855ff339a5cbf;Disk;LocaleDE3_2_2;LocaleDE 3.2.2;Hyperion (3.2.2 Update);LocaleDE 3.2.2
1.0;9.9;1;3.2.2;Hash;;;56FA3189B21EEFFCAF2C9BA385C30671;Disk;LocaleDE3_2_2;LocaleDE 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleDE 3.2.2
1.0;9.9;2;3.2.2;Hash;;;3a1f3bfe138b3556b05791864bd908db;Disk;LocaleDK3_2_2;LocaleDK 3.2.2;Hyperion (3.2.2 Update);LocaleDK 3.2.2
1.0;9.9;1;3.2.2;Hash;;;F3D9420A0D31EC4C91CC97614EAC2A83;Disk;LocaleDK3_2_2;LocaleDK 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleDK 3.2.2
1.0;9.9;2;3.2.2;Hash;;;965218b79f20579e1a9b82e5ad5293d2;Disk;LocaleEN3_2_2;LocaleEN 3.2.2;Hyperion (3.2.2 Update);LocaleEN 3.2.2
1.0;9.9;1;3.2.2;Hash;;;BDE7058F25E80EB602AE0176C08E7250;Disk;LocaleEN3_2_2;LocaleEN 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleEN 3.2.2
1.0;9.9;2;3.2.2;Hash;;;476c5028ece378553648892b491d016e;Disk;LocaleES3_2_2;LocaleES 3.2.2;Hyperion (3.2.2 Update);LocaleES 3.2.2
1.0;9.9;1;3.2.2;Hash;;;6A0786F5D1C5582A7CC0F5C270132FC1;Disk;LocaleES3_2_2;LocaleES 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleES 3.2.2
